"","Season","TeamName","Tempo","RankTempoSeason","AdjTempo","RankAdjTempoSeason","OE","RankOESeason","AdjOE","RankAdjOESeason","DE","RankDESeason","AdjDE","RankAdjDESeason","AdjSOS","RankAdjSOS_Season","seed_season"
"159",2021,"Houston",65.975,312,64.9246,327,115.808,5,118.922,8,88.5559,5,90.1017,16,28.8202,6,"2"
"160",2021,"Illinois",71.5738,78,70.7135,80,112.127,18,118.957,7,95.8562,50,88.3445,5,30.6122,3,"1"
"161",2021,"Iona",69.8206,146,68.3119,185,103.193,133,100.371,210,94.2201,30,101.407,161,-1.03598,181,"15"
"162",2021,"Iowa",70.9678,97,69.9829,100,117.408,4,123.496,2,101.074,158,94.5925,50,28.9031,5,"2"
"163",2021,"Kansas",69.3839,169,68.2629,186,104.203,109,109.615,59,94.8304,39,88.5839,6,21.0313,22,"3"
"164",2021,"Liberty",64.4,336,63.1252,348,113.773,8,110.143,52,96.5376,60,101.773,168,8.37002,97,"13"
"165",2021,"Loyola Chicago",63.4532,345,64.1938,342,110.218,26,110.416,49,87.2641,3,86.6625,1,23.7539,9,"8"
"166",2021,"LSU",72.7762,38,70.7574,78,112.749,13,119.771,5,103.154,221,100.181,125,19.5899,29,"8"
"167",2021,"Maryland",65.6478,318,65.3286,317,103.219,132,110.916,42,99.3084,116,92.1984,27,18.7175,31,"10"
"168",2021,"Michigan",67.547,251,66.8217,261,112.349,15,119.434,6,96.3266,58,88.6425,7,30.7915,2,"1"
"169",2021,"Michigan St.",69.1421,178,68.6334,166,99.5046,205,106.989,98,102.259,199,92.9745,32,14.0141,56,"11"
"170",2021,"Missouri",70.5204,112,68.7329,160,103.256,131,110.248,51,101.07,157,95.0983,58,15.15,51,"9"
"171",2021,"Morehead St.",67.166,272,65.5948,312,100.374,187,100.165,214,94.537,36,96.2694,72,3.89559,128,"14"
"172",2021,"Mount St. Mary's",63.7509,342,62.172,356,98.9687,215,95.4181,287,97.0309,65,100.428,136,-5.0102,219,"16"
"173",2021,"Norfolk St.",72.0453,59,67.6936,221,104.011,113,100.613,204,97.4792,72,104.355,219,-3.74215,200,"16"
"174",2021,"North Carolina",71.8804,66,71.8271,45,105.059,92,110.111,53,96.582,62,90.0231,15,20.0876,28,"8"
"175",2021,"North Texas",65.0818,332,63.0896,350,103.916,118,105.362,119,92.9394,19,93.6646,42,11.6975,71,"13"
"176",2021,"Ohio",71.7136,72,69.3203,131,112.226,17,113.002,29,102.559,210,101.888,174,11.1142,78,"13"
"177",2021,"Ohio St.",67.553,250,67.0815,248,113.532,10,122.274,4,104.295,244,96.8491,79,25.4253,7,"2"
"178",2021,"Oklahoma",69.1751,175,67.689,222,106.109,80,111.427,36,98.5625,91,94.7836,53,16.6439,39,"8"
"179",2021,"Oklahoma St.",72.8164,36,71.9524,43,103.792,121,110.059,54,98.1737,84,91.2923,22,18.7671,30,"4"
"180",2021,"Oral Roberts",72.7902,37,71.7646,47,108.965,37,108.656,74,106.738,283,107.44,285,1.21622,152,"15"
"181",2021,"Oregon",67.8562,233,67.2355,242,109.767,30,114.453,16,99.8891,129,96.7728,76,17.6799,36,"7"
"182",2021,"Oregon St.",65.632,319,65.3971,315,104.37,105,109.326,65,104.538,250,99.1533,117,10.1728,85,"12"
"183",2021,"Purdue",66.7936,283,66.4842,274,106.055,82,113.612,23,98.8645,103,91.3407,23,22.2716,13,"4"
"184",2021,"Rutgers",68.5249,198,67.7741,213,101.449,167,108.651,75,99.1205,110,90.5084,18,18.1428,34,"10"
"185",2021,"San Diego St.",66.8552,281,66.0736,298,109.872,29,110.835,44,91.4916,10,89.5391,11,21.296,20,"6"
"186",2021,"St. Bonaventure",65.1656,329,65.1595,319,108.487,45,111.309,38,92.6373,17,90.4885,17,20.8204,25,"9"
"187",2021,"Syracuse",69.6241,154,69.2068,139,108.366,46,113.82,22,101.139,161,97.5937,89,16.2268,41,"11"
"188",2021,"Tennessee",68.813,186,67.3118,233,105.227,90,108.804,71,91.6883,13,87.7414,4,21.0624,21,"5"
"189",2021,"Texas",69.609,155,69.2079,138,106.848,64,113.848,21,97.8468,76,93.2661,36,20.5822,26,"3"
"190",2021,"Texas Southern",73.4549,28,71.9846,41,99.7677,197,98.9834,236,95.3916,45,105.038,236,-6.05453,229,"16"
"191",2021,"Texas Tech",66.9686,279,65.3672,316,107.923,54,112.362,33,93.8813,24,91.4155,24,20.9465,23,"6"
"192",2021,"UC Santa Barbara",66.6897,288,66.1183,295,109.661,31,109.242,66,94.1696,29,97.0104,82,12.2317,69,"12"
"193",2021,"UCLA",65.2619,327,64.6928,332,108.256,48,113.403,26,102.131,195,97.4859,86,15.9175,44,"11"
"194",2021,"UNC Greensboro",70.3313,119,68.4895,174,104.391,104,104.118,129,95.5017,47,95.9651,67,8.15332,100,"13"
